date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:30	243289/243289	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202023%2020:16:13%20GMT	https://nataliafaria.arq.br/	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/index.html	(from )
17:15:31	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2018%20Jan%202023%2020:16:15%20GMT	https://nataliafaria.arq.br/xmlrpc.php	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/xmlrpc.php	(from https://nataliafaria.arq.br/)
17:15:31	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jan%202023%2020:16:15%20GMT	https://fonts.gstatic.com/	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/index-3.html	(from https://nataliafaria.arq.br/)
17:15:37	24505/24505	---MCZ	200	added ('OK')	text/css	etag:W/%22625f397c-5fb9%22	https://nataliafaria.arq.br/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.0.5	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-content/plugins/instagram-feed/css/sbi-styles.min52c7.css	(from https://nataliafaria.arq.br/)
17:15:37	83900/83900	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202023%2020:16:17%20GMT	http://secure.gravatar.com/	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/index-4.html	(from https://nataliafaria.arq.br/)
17:15:38	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jan%202023%2020:16:21%20GMT	http://v0.wordpress.com/	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/index-5.html	(from https://nataliafaria.arq.br/)
17:15:38	156568/156568	---M--	200	added ('OK')	application/octet-stream	etag:%225ba81fb1-26398%22	https://nataliafaria.arq.br/wp-content/uploads/et-fonts/Petala-Pro-Regular.otf	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-content/uploads/et-fonts/Petala-Pro-Regular.otf	(from https://nataliafaria.arq.br/)
17:15:38	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jan%202023%2020:16:22%20GMT	http://widgets.wp.com/	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/index-6.html	(from https://nataliafaria.arq.br/)
17:15:38	67072/67072	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2009%20May%202022%2018:35:35%20GMT	https://fonts.gstatic.com/s/nunitosans/v12/pe01MImSLYBIv1o4X1M8cce4GxZrY10IVw.ttf	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/s/nunitosans/v12/pe01MImSLYBIv1o4X1M8cce4GxZrY10IVw.ttf	(from https://nataliafaria.arq.br/)
17:15:38	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jan%202023%2020:16:22%20GMT	http://s0.wp.com/	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/index-7.html	(from https://nataliafaria.arq.br/)
17:15:38	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/5.9.5/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/c/5.9.5/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://nataliafaria.arq.br/)
